title,description,category,difficulty,requiredSetting
Send a Terrible Pun,"Low art, high return.

1. Send someone the worst joke you can construct about their day.
2. Do not apologise for it.",fun activities,easy,home
Upgrade the Snack,"The difference between food and a small event is about ninety seconds.

1. Take whatever you were going to eat.
2. Add one thing that makes it better — heat, salt, acid, a plate.
3. Sit down for it.",fun activities,easy,home
Rate the Day Out Loud,"Saying it out loud makes it a fact rather than a mood.

1. Say out loud what you'd score today out of ten.
2. Say the one thing that would have made it one point higher.
3. Note whether that thing is still possible.",fun activities,easy,home
Step Outside,"Five minutes on the other side of the door.

1. Go out of the front door with no phone.
2. Stand still for three minutes.
3. Come back in.",random activities,easy,outdoors
Look Up,"Everything above the first floor is a city you've never visited.

1. Walk to the end of the street.
2. Look only at rooflines, upper windows, and sky.
3. Find one thing you'd never noticed.",random activities,easy,outdoors
Pick a Direction,"No destination, no map, five minutes.

1. Choose the direction you leave in least often.
2. Walk that way for five minutes.
3. Turn around.",random activities,easy,outdoors
Three Smells,"The sense you stopped using.

1. Go outside.
2. Identify three distinct smells.
3. Name each one out loud.",random activities,easy,outdoors
The Door You've Never Opened,"There is one nearby. You've walked past it for years.

1. Think of a shop, door, or entrance near you that you've never gone through.
2. Go through it.
3. You are allowed to buy nothing.",random activities,medium,mall
"One Word, Properly","One word learned well outlasts twenty half-learned.

1. Learn one new word — in a language, or in your own field.
2. Say it aloud five times.
3. Use it in a sentence before bed.",learning,easy,school
The One-Question Quiz,"Retrieval beats rereading. It always has.

1. Pick something you learned this week.
2. Close everything and write what you remember.
3. Only then check how much you got.",learning,easy,school
Read One Paragraph Twice,"Speed is the enemy of anything difficult.

1. Find a paragraph you didn't fully understand.
2. Read it twice more, slowly.
3. Write it back in your own words.",learning,easy,school
Fix One Setting,"A small daily irritation, removed permanently.

1. Name the setting on a device or app that annoys you daily.
2. Go and change it now.",learning,easy,home
Yesterday's Lesson,"If you can't name it, it didn't land.

1. Write the one thing yesterday taught you.
2. If nothing comes, write why that might be.",learning,easy,home
The Deep Clean,"One room, treated seriously, changes the whole flat.

1. Pick one room.
2. Clean it properly — the parts you normally skip.
3. Throw away five things before you finish.",productivity/chores,medium,home
Admin Ambush,"The dull immortal tasks. All at once, then done.

1. Gather every piece of unfinished official business — renewals, forms, claims, appointments.
2. Work through them in one sitting until the pile is smaller.
3. Reward yourself properly afterward.",productivity/chores,hard,home
One Complete Thing,"Finished and flawed beats perfect and theoretical.

1. Make something small from start to actual finish today.
2. No part of it may be left for tomorrow.
3. Show it to one person.",fun activities,hard,home
The Long Session,"Creative work has a warm-up you never reach in twenty minutes.

1. Work on one creative thing for the whole block.
2. The first thirty minutes will be bad. Continue anyway.
3. Stop mid-sentence so tomorrow has a handle.",fun activities,medium,home
Build the Page,"One page that explains and sells is worth a month of posts.

1. Write the page for your offer: what, who, why, proof, price, next step.
2. Get it live even if it's plain text.
3. Send it to one person today.",productivity/chores,hard,home
The Outreach Block,"Volume is uncomfortable and it is also the answer.

1. Make a list of fifteen people worth contacting.
2. Message as many as you can in the block.
3. Personalise the first line of every one.",productivity/chores,hard,office/desk
The Full Session,"Warm-up, main work, accessory, cool-down. The whole ritual.

1. Train properly with no phone between sets.
2. Include one thing you've been avoiding.
3. Cool down for ten minutes instead of leaving early.",fitness,hard,home
"Two Sports, One Day","Novelty is the best cure for a stale routine.

1. Do two different physical things in the same block.
2. One familiar, one you're bad at.
3. No performance expectations on the second.",fitness,medium,home
Cook for Someone,"Feeding a person is the least complicated way to be good to them.

1. Cook a proper meal for at least one other person.
2. Something you haven't made before.
3. Eat it at a table.",fun activities,medium,home
"Full Album, Full Attention","Nobody listens to records any more. Try it.

1. Choose one album.
2. Listen start to finish doing nothing else.
3. No skipping, no phone.",fun activities,easy,home
The Unstructured Evening,"No plan is the plan.

1. Cancel or decline whatever is optional tonight.
2. Make no plan for the evening at all.
3. Follow whatever you actually feel like.",mindfulness,easy,home
Bath and Book,"An old technology that still outperforms most new ones.

1. Run a bath or a very long shower.
2. Take a physical book in with you.
3. Leave the phone in another room entirely.",mindfulness,easy,school
The Study Block,"Deep work needs a runway, not a gap between meetings.

1. Choose one difficult thing to learn.
2. Work on it for the whole block with no interruptions.
3. Write a one-paragraph summary at the end.",learning,hard,school
Take Something Apart,"Understanding comes from disassembly, not description.

1. Choose something you use but don't understand — an object, a codebase, a song, a recipe.
2. Take it apart, literally or on paper.
3. Write how it actually works.",learning,medium,office/desk
The Forgotten Drawer,"Every home has one nobody has opened this year.

1. Open a drawer or cupboard you never use.
2. Remove one thing that should not be there.
3. Deal with it now, not later.",random activities,easy,home
Breathe Between Sets,"The rest is part of the training, not a gap in it.

1. Between every set, take five slow breaths out.
2. No phone during the rest.",mindfulness,easy,gym
Train Without Music,"You have never actually heard yourself lift.

1. Do the whole session with nothing in your ears.
2. Notice your breathing and your tempo.",mindfulness,medium,gym
The Unhurried Session,"No clock, no rush, no sets left half-finished because you were bored.

1. Train with no time limit and no phone.
2. Rest as long as you genuinely need.
3. Leave only when the work is done.",mindfulness,hard,gym
Pack the Bag Properly,"Half your missed sessions are logistics, not motivation.

1. Empty your gym bag completely.
2. Repack it with everything you actually need.
3. Leave it by the door.",productivity/chores,easy,gym
Log the Session,"What isn't written down didn't happen.

1. Write down every exercise, weight and rep from today.
2. Note one thing to change next time.",productivity/chores,medium,gym
Plan the Next Four Weeks,"Turning up without a plan is how people train for a year and change nothing.

1. Write out four weeks of sessions.
2. Give each week one number you're trying to beat.
3. Put them in your calendar.",productivity/chores,hard,gym
Learn One Machine,"There is equipment you walk past because you don't know what it does.

1. Pick one machine you have never used.
2. Read the instruction panel properly.
3. Do one light set on it.",learning,easy,gym
Study One Lift,"Technique is knowledge, not instinct.

1. Choose one lift you already do.
2. Watch a proper coaching breakdown of it.
3. Apply one correction today at a lighter weight.",learning,medium,gym
Film Your Form,"Everyone thinks their form is fine. Very few people have looked.

1. Film one working set from the side.
2. Watch it back honestly.
3. Write down the one thing that needs fixing.",learning,hard,gym
"New Playlist, New Session","Same songs, same session, same effort.

1. Build a playlist you have never trained to.
2. Use it for the whole session.",fun activities,easy,gym
The Machine You Avoid,"Avoidance is usually embarrassment wearing a disguise.

1. Use the piece of equipment you feel least confident on.
2. Go light. Nobody is watching.
3. Do three sets.",fun activities,medium,gym
Bring Someone,"Training with a person changes what you're willing to attempt.

1. Invite someone to train with you.
2. Let them pick half the session.
3. Do their half without complaining.",fun activities,hard,gym
Ask One Question,"The staff know things you have been guessing at for months.

1. Ask a trainer or staff member one genuine question.
2. Act on the answer today.",random activities,easy,gym
Let the Coin Decide,"Your routine has become a rut with good lighting.

1. Write three possible sessions on paper.
2. Pick one at random.
3. Do it exactly as written.",random activities,hard,gym
Hill Repeats,"The cheapest hard session there is.

1. Find a hill that takes about a minute to climb.
2. Go up hard, walk down, repeat six times.
3. Walk for five minutes afterward.",fitness,hard,outdoors
Sit Still Outside,"Not a walk. Sitting.

1. Go outside and sit down somewhere.
2. Stay for fifteen minutes doing nothing at all.
3. No phone, no book, no audio.",mindfulness,medium,outdoors
"An Hour, No Phone","The first twenty minutes are boring. That is the point.

1. Leave your phone at home.
2. Go outside for a full hour.
3. Come back when the hour is up, not before.",mindfulness,hard,outdoors
Name Three Plants,"You walk past the same living things every day without knowing them.

1. Photograph three plants near you.
2. Identify each one.
3. Say the names out loud so they stick.",learning,easy,outdoors
Map It From Memory,"You know your area far less well than you assume.

1. Without looking anything up, draw a map of your neighbourhood.
2. Then walk it and correct what you got wrong.",learning,hard,outdoors
Sunset Mission,"Be somewhere good when the light goes.

1. Find out what time the sun sets today.
2. Choose a spot worth watching it from.
3. Be there ten minutes early.",fun activities,hard,outdoors
"Calf Raises, Quietly","Nobody will notice and your circulation will.

1. Do thirty calf raises at your desk.
2. Repeat twice more before the day ends.",fitness,easy,office/desk
The Stair Break,"A building is exercise equipment with a lift attached.

1. Leave your desk.
2. Climb every flight of stairs in the building once.
3. Walk back down.",fitness,medium,office/desk
Every Twenty Minutes,"Frequency beats intensity, and desks are undefeated at stopping both.

1. Set a repeating twenty-minute timer.
2. Every time it goes, stand and move for one minute.
3. Keep it up for the whole working day.",fitness,hard,office/desk
Twenty Seconds at the Window,"Your eyes have not looked past arm's length in hours.

1. Stand at the furthest window.
2. Look at the most distant thing you can see for twenty seconds.",mindfulness,easy,office/desk
Single-Tab Hour,"Attention is not a renewable resource within a single day.

1. Close every tab and app except the one you need.
2. Work for one hour that way.
3. Notice how often you reach for something else.",mindfulness,medium,office/desk
Lunch Away From the Screen,"Eating at your desk is not a lunch break. It is a slower kind of work.

1. Take your food somewhere with no screen.
2. Eat the whole thing there.
3. Do not bring your phone.",mindfulness,hard,office/desk
One Shortcut,"You have done that with the mouse ten thousand times.

1. Find the keyboard shortcut for the thing you do most.
2. Use it exclusively for the rest of the day.",learning,easy,office/desk
Read the Whole Thread,"You are working from a summary of a decision you never actually read.

1. Find a decision you inherited but never understood.
2. Read the original discussion end to end.
3. Write three sentences on why it went that way.",learning,hard,office/desk
Change the Wallpaper,"You look at it more than you look at most people.

1. Find an image you genuinely like.
2. Set it as your desktop background.",fun activities,easy,office/desk
Two Minutes on Paper,"A screen is a bad place to think loosely.

1. Take a blank sheet of paper.
2. Draw or scribble for two minutes with no purpose.
3. Keep it on your desk.",fun activities,medium,office/desk
Build a Tiny Tool,"The annoying manual thing you do weekly does not have to stay manual.

1. Name the task you repeat by hand every week.
2. Build the smallest thing that removes one step of it.
3. Ugly and working beats elegant and unbuilt.",fun activities,hard,office/desk
The Oldest File,"There is something in there from a version of you that no longer exists.

1. Open the oldest file in your working folder.
2. Read it.
3. Delete it or file it properly.",random activities,easy,office/desk
Message Another Team,"Your organisation is bigger than the six people you talk to.

1. Message someone you have never worked with directly.
2. Ask what they are working on.
3. Ask one follow-up question.",random activities,medium,office/desk
The Unread Bookmark,"You saved it because it mattered. Then you never opened it.

1. Open the oldest link in your saved or read-later list.
2. Read it properly.
3. Do one thing it suggests, today.",random activities,hard,office/desk
Take the Stairs,"The lift saves ninety seconds you did not need.

1. Use only stairs for the whole day.
2. No exceptions, even going up.",fitness,easy,school
The Long Way Between Classes,"The shortest route is a habit, not a rule.

1. Walk the longest reasonable route to your next class.
2. Do it for every class today.",fitness,medium,school
Campus Lap,"Somewhere between lectures there is a walk worth taking.

1. Walk a full lap of the campus or grounds.
2. Keep a pace that makes talking slightly difficult.
3. Do not stop halfway.",fitness,hard,school
Ten Minutes Before Class,"Arriving flustered costs you the first ten minutes anyway.

1. Get to your next class ten minutes early.
2. Sit without your phone until it starts.",mindfulness,medium,school
"One Lecture, No Device","Handwriting is slower, which is exactly why it works.

1. Attend one full class with no laptop or phone.
2. Take notes on paper only.
3. Rewrite the key ideas afterward in your own words.",mindfulness,hard,school
Empty the Bag,"There is something at the bottom that should have been dealt with weeks ago.

1. Empty your bag completely.
2. Throw away or file everything that isn't needed tomorrow.",productivity/chores,easy,school
File One Subject,"Notes you cannot find are notes you did not take.

1. Pick one subject.
2. Put every note, handout and file for it in one place, in order.",productivity/chores,medium,school
Rebuild the Study Plan,"The plan you made in week one no longer matches reality.

1. Write out every deadline you actually have.
2. Work backwards and block time for each.
3. Cancel one commitment to make it fit.",productivity/chores,hard,school
Join One Thing,"The societies exist and you have been meaning to for two terms.

1. Find a club, society or group that meets this week.
2. Turn up to one session.
3. Go alone.",fun activities,hard,school
Sit Somewhere New,"You have sat in roughly the same seat since the first week.

1. Sit somewhere completely different in your next class.
2. Notice what the room looks like from there.",random activities,easy,school
Talk to Someone in Your Class,"You have shared a room with these people for months.

1. Start a real conversation with someone you have never spoken to.
2. Ask two questions before you talk about yourself.",random activities,medium,school
Attend Something Unrelated,"The best ideas usually arrive from the next field over.

1. Find a talk or class in a subject that is not yours.
2. Attend the whole thing.
3. Write down one idea worth stealing.",random activities,hard,school
Lap the Green,"One lap. No pace target. Just go around the whole thing.

1. Walk one full lap of the park's perimeter.
2. Do not cut across the middle.",fitness,easy,park
Bench Circuit,"A park bench is a gym that nobody charges for.

1. Find a bench.
2. Do ten step-ups, ten press-ups against it, and ten dips.
3. Three rounds.",fitness,medium,park
Find the Hill,"Every park has one slope people avoid.

1. Find the steepest path in the park.
2. Go up it hard five times.
3. Walk down between each.",fitness,hard,park
Five Minutes on a Bench,"Sitting outside doing nothing is a real thing to do.

1. Sit on a bench for five minutes.
2. No phone, no podcast.
3. Watch whatever is in front of you.",mindfulness,easy,park
Cloud Watch,"A childhood activity that is genuinely restorative and slightly embarrassing.

1. Lie or sit back and look up for ten minutes.
2. Find three shapes.
3. Tell nobody.",mindfulness,medium,park
An Hour Under a Tree,"Long enough that boredom passes and something else arrives.

1. Choose a tree and sit under it for a full hour.
2. No phone, no book for the first thirty minutes.",mindfulness,hard,park
Plan Tomorrow on a Bench,"Planning outdoors produces different plans.

1. Sit in the park with paper.
2. Write the three things that would make tomorrow good.",productivity/chores,easy,park
Inbox on a Bench,"The work is the same. The room is better.

1. Take your phone or laptop to the park.
2. Clear your inbox there.
3. Go home when it's empty.",productivity/chores,medium,park
The Outdoor Work Block,"Ninety minutes of real work, outside, no walls.

1. Take one substantial task to the park.
2. Work on it for ninety minutes.
3. Do not go back indoors until it is done.",productivity/chores,hard,park
Identify One Tree,"You have walked past it a hundred times without knowing its name.

1. Photograph a tree in the park.
2. Identify the species.
3. Look at it properly once you know.",learning,easy,park
A Chapter Outside,"Reading outdoors is a different experience from reading indoors.

1. Bring a demanding book to the park.
2. Read one full chapter there.
3. Write three sentences on it before you leave.",learning,medium,park
Read the Ecosystem,"A park is a system, not scenery.

1. Spend an hour noting what lives there — birds, insects, plants.
2. Look up three you cannot name.
3. Write what you learned.",learning,hard,park
Watch the People,"The oldest free entertainment there is.

1. Sit somewhere with a view of a path.
2. Watch people for ten minutes.
3. Invent a story for one of them.",fun activities,easy,park
Picnic of One,"Eating outside alone is not sad. It is a small luxury.

1. Bring proper food, not a sad sandwich.
2. Eat it in the park without rushing.",fun activities,medium,park
Bring a Game,"Parks are for playing in and almost nobody over twelve does.

1. Bring a ball, frisbee, kite or set of boules.
2. Use it for at least half an hour.
3. Bring someone if you can.",fun activities,hard,park
Take the Other Path,"You always go the same way round.

1. Enter by a different gate than usual.
2. Follow a path you have never taken.",random activities,easy,park
Find the Oldest Tree,"Something in there was alive before you were.

1. Walk the park looking for the oldest tree you can find.
2. Stand under it for a minute.",random activities,medium,park
The Park at Dawn,"It is a completely different place before people arrive.

1. Be in the park before the sun is fully up.
2. Stay for at least half an hour.
3. Walk a route you know well and notice what's different.",random activities,hard,park
"Stairs, Not Escalator","They are right next to each other and one is free exercise.

1. Use only stairs for the whole visit.
2. No escalators, no lifts.",fitness,easy,mall
Walk the Whole Length,"A shopping centre is an indoor track with better heating.

1. Walk the full length of every floor.
2. Keep moving — no stopping to browse.
3. Brisk pace throughout.",fitness,medium,mall
Carry It Home,"Shopping bags are a loaded carry with a receipt.

1. Do your shopping.
2. Carry everything home on foot.
3. No trolley, no taxi, no stopping to rest unless you must.",fitness,hard,mall
Sit and Do Nothing,"Somewhere in there is a bench nobody is using.

1. Find a seat.
2. Sit for five minutes without your phone.
3. Watch the crowd move.",mindfulness,easy,mall
Buy Nothing Hour,"Being somewhere designed to extract money, and not spending any, is a small act of will.

1. Spend an hour there and buy nothing at all.
2. Look at whatever you like.
3. Notice what nearly got you.",mindfulness,medium,mall
The Unhurried Errand,"You normally do this at speed, resenting it.

1. Take an errand you usually rush.
2. Do it at half your normal pace.
3. No phone while you do it.",mindfulness,hard,mall
"One Errand, Properly","The half-done errand comes back twice.

1. Pick the errand you have rescheduled most.
2. Do it completely today.
3. Do not leave until it's finished.",productivity/chores,medium,mall
The Returns Run,"They have been by the door for weeks, quietly judging you.

1. Gather everything you need to return or exchange.
2. Take all of it in one trip.
3. Come home with none of it.",productivity/chores,hard,mall
Read Three Labels,"You buy these things constantly and have never read them.

1. Pick three products you buy often.
2. Read their labels properly.
3. Notice one thing that surprises you.",learning,easy,mall
Price Study,"You have no idea what things actually cost.

1. Pick one item you buy regularly.
2. Check its price in three different shops.
3. Write down the spread.",learning,medium,mall
Study a Shopfront,"Every shop is a lesson in persuasion, if you look.

1. Choose one shop and study how it is arranged.
2. Note what is at eye level, what is at the entrance, what is hidden at the back.
3. Write down three deliberate choices you spotted.",learning,hard,mall
Try On Something You'd Never Wear,"Changing rooms are free and nobody is keeping score.

1. Find something completely unlike your usual style.
2. Try it on.
3. Buy it only if it is unexpectedly right.",fun activities,medium,mall
The Blind Taste,"Pick the thing you cannot identify.

1. Find a food shop selling something you have never eaten.
2. Buy one thing you cannot name.
3. Try it before you look it up.",fun activities,hard,mall
The Seventh Shop,"Let counting decide instead of preference.

1. Walk in and count shops as you pass them.
2. Go into the seventh one.
3. Stay for five minutes, whatever it sells.",random activities,hard,mall
